id,symbol,name,last_updated,page_number
0x,zrx,0x Protocol,2024-05-29 20:01:28.104000+00:00,1
0x0_ai_ai_smart_contract,0x0,0x0.ai: AI Smart Contract,2024-05-29 20:02:43.375000+00:00,2
1ex,1ex,1ex,2024-05-29 20:04:10.958000+00:00,6
1inch,1inch,1inch,2024-05-29 20:01:23.664000+00:00,1
a_hunters_dream,caw,A Hunters Dream,2024-05-29 20:04:42.825000+00:00,3
aave,aave,Aave,2024-05-29 20:01:29.410000+00:00,1
aavegotchi,ghst,Aavegotchi,2024-05-29 20:04:48.187000+00:00,3
abelian,abel,Abelian,2024-05-29 20:07:10.845000+00:00,4
ac_milan_fan_token,acm,AC Milan Fan Token,2024-05-29 20:04:22.256000+00:00,6
acala,aca,Acala,2024-05-29 20:02:36.917000+00:00,2
access_protocol,acs,Access Protocol,2024-05-29 20:04:49.846000+00:00,3
acet_token,act,Acet,2024-05-29 20:07:47.001000+00:00,4
across_protocol,acx,Across Protocol,2024-05-29 20:01:52.909000+00:00,2
adappter_token,adp,Adappter,2024-05-29 20:04:40.857000+00:00,6
adex,adx,AdEx,2024-05-29 20:07:25.005000+00:00,4
adshares,ads,Adshares,2024-05-29 20:04:04.738000+00:00,6
adventure_gold,agld,Adventure Gold,2024-05-29 20:02:20.537000+00:00,2
advertise_coin,adco,Advertise Coin,2024-05-29 19:51:44.062000+00:00,4
aegis_ai,aegis,Aegis Ai,2024-05-29 20:08:53.411000+00:00,7
aelf,elf,aelf,2024-05-29 20:02:04.829000+00:00,1
aergo,aergo,Aergo,2024-05-29 20:04:26.061000+00:00,3
aerodrome_finance,aero,Aerodrome Finance,2024-05-29 20:01:22.682000+00:00,1
aeternity,ae,Aeternity,2024-05-29 20:04:59.875000+00:00,5
aevo_exchange,aevo,Aevo,2024-05-29 20:01:14.036000+00:00,1
affyn,fyn,Affyn,2024-05-29 20:04:29.044000+00:00,6
ageur,eura,EURA,2024-05-29 20:04:25.747000+00:00,5
agoras_currency_of_tau,agrs,Agoras: Currency of Tau,2024-05-29 20:04:21.254000+00:00,3
agoric,bld,Agoric,2024-05-29 20:04:28.926000+00:00,3
ahatoken,aht,AhaToken,2024-05-29 20:06:10.308000+00:00,4
